amount,time_of_day,frequency,device_change,new_recipient,is_fraud
18727.631402249277,18,8,1,0,0
47535.7646061894,7,7,1,1,1
36599.965096628446,6,2,1,1,0
29933.325551367634,15,12,0,1,0
7801.776003481384,18,14,1,1,0
7800.570022289796,5,16,0,0,0
2905.122524797805,19,11,0,1,0
43308.94111260099,20,9,0,1,0
30056.149472148696,10,10,0,0,0
35403.920817224476,4,17,0,1,1
1030.2041302958266,15,12,0,1,0
48495.52269824755,6,6,0,1,0
41622.29959738029,4,19,1,1,1
10617.74319480313,10,11,0,1,0
9092.066535387823,14,9,1,0,0
9171.042088161837,2,6,0,0,0
15212.807905733927,4,16,0,0,0
26238.29682518026,22,16,0,0,0
21597.818987087147,20,6,1,0,0
14562.165780761898,4,5,0,1,0
30593.032883224252,8,4,0,1,0
6975.553538741439,14,2,1,1,0
14607.940282112373,2,6,1,1,0
18318.72580284129,5,9,1,1,0
22804.04314086758,16,17,1,1,0
39259.01289368929,20,14,0,1,0
9984.489434135829,7,7,0,1,0
25712.207686242167,20,19,1,1,1
29621.136028533263,10,1,0,1,0
2323.474185587166,5,15,1,1,1
30377.63505022002,7,18,1,1,1
8527.035660240888,9,3,1,1,0
3253.5145976709905,23,18,0,0,0
47444.32797712941,2,2,1,1,1
48281.636021694896,22,10,0,0,0
40420.05900847494,13,11,0,1,1
15231.383844899361,22,3,0,1,0
4884.508028205187,13,7,1,1,0
34211.96709258133,9,8,0,0,0
22008.184534486325,11,19,1,0,0
6102.789704004096,5,18,0,1,0
24759.3503286534,11,13,0,1,0
1720.3916672398045,22,13,0,1,0
45466.11078353703,13,19,1,1,1
12939.740300019246,1,12,1,0,0
33126.45169541475,8,17,1,0,0
15586.242093394458,9,12,1,1,1
26003.880990869362,16,13,0,0,0
27335.96725688464,16,12,0,0,0
9243.537921820827,2,19,1,1,1
48479.261803600166,18,14,1,1,1
38756.866035232364,0,7,1,1,0
46975.00757926789,11,13,1,0,1
44741.47269403201,6,6,0,1,0
29895.401040575445,3,19,1,0,0
46093.78987692082,9,19,1,1,1
4425.536610093923,12,4,0,1,0
9799.947138094842,1,19,1,0,1
2262.3192182379926,9,9,0,0,0
16267.191207832453,20,16,1,0,0
19434.47580718441,21,4,0,0,0
13568.180239663021,3,6,1,0,0
41437.04672008732,17,8,1,0,0
17838.30958135277,4,16,1,1,1
14047.44454985935,18,5,1,0,0
27135.261461829265,1,10,1,0,0
7047.070324513157,11,13,0,1,0
40110.04684072123,16,14,1,0,1
3728.4576333448613,9,7,0,0,0
49344.359943089265,1,6,0,1,0
38612.46622006357,5,7,0,1,0
9936.585361027086,7,5,0,1,0
277.10033406299635,18,18,1,0,0
40773.255961313254,10,12,1,1,1
35343.160335037006,11,6,1,0,0
36450.629394881325,8,1,1,1,0
38563.7460639506,1,4,0,0,0
3703.158542052784,7,19,0,1,0
17923.927961485086,10,12,0,1,0
5794.3371071969605,20,15,1,1,1
43155.308190353804,3,3,1,0,1
31165.283043251067,9,8,1,0,0
16545.570344607608,20,11,1,1,1
3178.853955950896,19,16,0,1,0
15549.805103461395,15,9,1,1,0
16259.840918015325,7,3,1,1,0
36480.57931072487,3,5,0,0,0
31878.2360102893,9,14,0,1,0
44360.74991607375,11,15,1,1,1
23611.274043172303,13,6,1,0,0
5980.592702669147,15,4,0,0,0
35662.526116362525,21,8,1,1,0
38039.49164579625,17,19,0,1,0
28064.29860127724,20,5,0,0,0
38548.5880305481,21,13,1,0,0
24690.28602262317,20,16,0,1,0
